name,date_utc,success,rocket,flight_number,year,success_flag,decade,launch_count,launch_share
Inmarsat-5 F4,2017-05-15 23:21:00+00:00,True,5e9d0d95eda69973a809d1ec,40,2017,1,2010s,81,0.012345679012345678
CRS-11,2017-06-03 21:07:00+00:00,True,5e9d0d95eda69973a809d1ec,41,2017,1,2010s,81,0.012345679012345678
BulgariaSat-1,2017-06-23 19:10:00+00:00,True,5e9d0d95eda69973a809d1ec,42,2017,1,2010s,81,0.012345679012345678
Iridium NEXT Mission 2,2017-06-25 20:25:00+00:00,True,5e9d0d95eda69973a809d1ec,43,2017,1,2010s,81,0.012345679012345678
Intelsat 35e,2017-07-05 23:35:00+00:00,True,5e9d0d95eda69973a809d1ec,44,2017,1,2010s,81,0.012345679012345678
CRS-12,2017-08-14 16:31:00+00:00,True,5e9d0d95eda69973a809d1ec,45,2017,1,2010s,81,0.012345679012345678
FormoSat-5,2017-08-24 18:50:00+00:00,True,5e9d0d95eda69973a809d1ec,46,2017,1,2010s,81,0.012345679012345678
Boeing X-37B OTV-5,2017-09-07 13:50:00+00:00,True,5e9d0d95eda69973a809d1ec,47,2017,1,2010s,81,0.012345679012345678
Iridium NEXT Mission 3,2017-10-09 12:37:00+00:00,True,5e9d0d95eda69973a809d1ec,48,2017,1,2010s,81,0.012345679012345678
SES-11 / Echostar 105,2017-10-11 22:53:00+00:00,True,5e9d0d95eda69973a809d1ec,49,2017,1,2010s,81,0.012345679012345678
KoreaSat 5A,2017-10-30 19:34:00+00:00,True,5e9d0d95eda69973a809d1ec,50,2017,1,2010s,81,0.012345679012345678
CRS-13,2017-12-15 15:36:00+00:00,True,5e9d0d95eda69973a809d1ec,51,2017,1,2010s,81,0.012345679012345678
Iridium NEXT Mission 4,2017-12-23 01:27:23+00:00,True,5e9d0d95eda69973a809d1ec,52,2017,1,2010s,81,0.012345679012345678
ZUMA,2018-01-08 01:00:00+00:00,True,5e9d0d95eda69973a809d1ec,53,2018,1,2010s,81,0.012345679012345678
SES-16 / GovSat-1,2018-01-31 21:25:00+00:00,True,5e9d0d95eda69973a809d1ec,54,2018,1,2010s,81,0.012345679012345678
Falcon Heavy Test Flight,2018-02-06 20:45:00+00:00,True,5e9d0d95eda69974db09d1ed,55,2018,1,2010s,81,0.012345679012345678
Paz / Starlink Demo,2018-02-22 14:17:00+00:00,True,5e9d0d95eda69973a809d1ec,56,2018,1,2010s,81,0.012345679012345678
Hispasat 30W-6,2018-03-06 05:33:00+00:00,True,5e9d0d95eda69973a809d1ec,57,2018,1,2010s,81,0.012345679012345678
Iridium NEXT Mission 5,2018-03-30 14:13:51+00:00,True,5e9d0d95eda69973a809d1ec,58,2018,1,2010s,81,0.012345679012345678
CRS-14,2018-04-02 20:30:41+00:00,True,5e9d0d95eda69973a809d1ec,59,2018,1,2010s,81,0.012345679012345678
TESS,2018-04-18 22:51:00+00:00,True,5e9d0d95eda69973a809d1ec,60,2018,1,2010s,81,0.012345679012345678
Bangabandhu-1,2018-05-11 20:14:00+00:00,True,5e9d0d95eda69973a809d1ec,61,2018,1,2010s,81,0.012345679012345678
Iridium NEXT Mission 6,2018-05-22 19:47:58+00:00,True,5e9d0d95eda69973a809d1ec,62,2018,1,2010s,81,0.012345679012345678
SES-12,2018-06-04 04:45:00+00:00,True,5e9d0d95eda69973a809d1ec,63,2018,1,2010s,81,0.012345679012345678
CRS-15,2018-06-29 09:42:00+00:00,True,5e9d0d95eda69973a809d1ec,64,2018,1,2010s,81,0.012345679012345678
Telstar 19V,2018-07-22 05:50:00+00:00,True,5e9d0d95eda69973a809d1ec,65,2018,1,2010s,81,0.012345679012345678
Iridium NEXT Mission 7,2018-07-25 11:39:26+00:00,True,5e9d0d95eda69973a809d1ec,66,2018,1,2010s,81,0.012345679012345678
Merah Putih,2018-08-07 05:18:00+00:00,True,5e9d0d95eda69973a809d1ec,67,2018,1,2010s,81,0.012345679012345678
Telstar 18V,2018-09-10 04:45:00+00:00,True,5e9d0d95eda69973a809d1ec,68,2018,1,2010s,81,0.012345679012345678
SAOCOM 1A,2018-10-08 02:22:00+00:00,True,5e9d0d95eda69973a809d1ec,69,2018,1,2010s,81,0.012345679012345678
